warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
W0419 12:59:27.576000 28532 .venv\Lib\site-packages\torch\_inductor\utils.py:1613] [1/1] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 9, 'n_kv_head': 1, 'n_embd': 576, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,718,592
  value_embeds            : 0
  lm_head                 : 4,718,592
  transformer_matrices    : 10,616,832
  scalars                 : 18
  total                   : 20,054,034
Estimated FLOPs per token: 1.079378e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.000000
Time budget: 360s (extended from 300s for current hardware)
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010979 | lrm: 0.00 | dt: 13772ms | tok/sec: 148 | mfu: 0.3% | epoch: 1 | remaining: 360s    
step 00001 (0.0%) | loss: 9.010918 | lrm: 0.00 | dt: 892ms | tok/sec: 2,295 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00002 (0.0%) | loss: 9.010958 | lrm: 0.00 | dt: 888ms | tok/sec: 2,305 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00003 (0.0%) | loss: 9.011101 | lrm: 0.00 | dt: 884ms | tok/sec: 2,316 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00004 (0.0%) | loss: 9.010822 | lrm: 0.00 | dt: 894ms | tok/sec: 2,290 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00005 (0.0%) | loss: 9.010604 | lrm: 0.00 | dt: 907ms | tok/sec: 2,258 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00006 (0.0%) | loss: 9.010598 | lrm: 0.00 | dt: 889ms | tok/sec: 2,304 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00007 (0.0%) | loss: 9.010555 | lrm: 0.00 | dt: 894ms | tok/sec: 2,291 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00008 (0.0%) | loss: 9.010800 | lrm: 0.00 | dt: 889ms | tok/sec: 2,304 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00009 (0.0%) | loss: 9.011002 | lrm: 0.00 | dt: 889ms | tok/sec: 2,302 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00010 (0.0%) | loss: 9.011006 | lrm: 0.00 | dt: 902ms | tok/sec: 2,271 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00011 (0.0%) | loss: 9.011078 | lrm: 0.00 | dt: 902ms | tok/sec: 2,271 | mfu: 5.3% | epoch: 1 | remaining: 359s    
step 00012 (0.3%) | loss: 9.010999 | lrm: 0.50 | dt: 894ms | tok/sec: 2,291 | mfu: 5.4% | epoch: 1 | remaining: 358s    
step 00013 (0.5%) | loss: 8.992880 | lrm: 1.00 | dt: 894ms | tok/sec: 2,290 | mfu: 5.4% | epoch: 1 | remaining: 357s    
step 00014 (0.7%) | loss: 8.930209 | lrm: 1.00 | dt: 904ms | tok/sec: 2,266 | mfu: 5.3% | epoch: 1 | remaining: 356s    
step 00015 (1.0%) | loss: 8.825634 | lrm: 1.00 | dt: 880ms | tok/sec: 2,327 | mfu: 5.5% | epoch: 1 | remaining: 356s    
step 00038 (6.7%) | loss: 8.068168 | lrm: 0.99 | dt: 886ms | tok/sec: 2,310 | mfu: 5.4% | epoch: 1 | remaining: 335s    
step 00039 (6.9%) | loss: 8.019000 | lrm: 0.99 | dt: 887ms | tok/sec: 2,310 | mfu: 5.4% | epoch: 1 | remaining: 334s    
step 00040 (7.2%) | loss: 7.989682 | lrm: 0.99 | dt: 882ms | tok/sec: 2,320 | mfu: 5.4% | epoch: 1 | remaining: 333s    
step 00041 (7.4%) | loss: 7.930873 | lrm: 0.99 | dt: 897ms | tok/sec: 2,283 | mfu: 5.4% | epoch: 1 | remaining: 332s    
step 00042 (7.7%) | loss: 7.884744 | lrm: 0.99 | dt: 891ms | tok/sec: 2,299 | mfu: 5.4% | epoch: 1 | remaining: 332s    
step 00043 (7.9%) | loss: 7.817800 | lrm: 0.99 | dt: 879ms | tok/sec: 2,328 | mfu: 5.5% | epoch: 1 | remaining: 331s    
step 00044 (8.1%) | loss: 7.773364 | lrm: 0.99 | dt: 887ms | tok/sec: 2,310 | mfu: 5.4% | epoch: 1 | remaining: 330s    
step 00045 (8.4%) | loss: 7.694343 | lrm: 0.99 | dt: 896ms | tok/sec: 2,285 | mfu: 5.4% | epoch: 1 | remaining: 329s    
step 00046 (8.6%) | loss: 7.653996 | lrm: 0.99 | dt: 911ms | tok/sec: 2,249 | mfu: 5.3% | epoch: 1 | remaining: 328s    
step 00047 (8.9%) | loss: 7.582757 | lrm: 0.99 | dt: 910ms | tok/sec: 2,251 | mfu: 5.3% | epoch: 1 | remaining: 327s    
step 00048 (9.1%) | loss: 7.558078 | lrm: 0.98 | dt: 893ms | tok/sec: 2,293 | mfu: 5.4% | epoch: 1 | remaining: 326s    
step 00049 (9.4%) | loss: 7.524720 | lrm: 0.98 | dt: 914ms | tok/sec: 2,239 | mfu: 5.3% | epoch: 1 | remaining: 325s    
step 00050 (9.6%) | loss: 7.536123 | lrm: 0.98 | dt: 919ms | tok/sec: 2,229 | mfu: 5.2% | epoch: 1 | remaining: 324s    
step 00051 (9.9%) | loss: 7.527886 | lrm: 0.98 | dt: 918ms | tok/sec: 2,231 | mfu: 5.2% | epoch: 1 | remaining: 323s    
step 00052 (10.2%) | loss: 7.499697 | lrm: 0.98 | dt: 909ms | tok/sec: 2,252 | mfu: 5.3% | epoch: 1 | remaining: 323s    
step 00053 (10.4%) | loss: 7.473520 | lrm: 0.98 | dt: 931ms | tok/sec: 2,200 | mfu: 5.2% | epoch: 1 | remaining: 322s    
step 00054 (10.7%) | loss: 7.415328 | lrm: 0.98 | dt: 914ms | tok/sec: 2,240 | mfu: 5.3% | epoch: 1 | remaining: 321s    
step 00055 (10.9%) | loss: 7.390202 | lrm: 0.98 | dt: 923ms | tok/sec: 2,220 | mfu: 5.2% | epoch: 1 | remaining: 320s    
step 00056 (11.2%) | loss: 7.359282 | lrm: 0.98 | dt: 909ms | tok/sec: 2,254 | mfu: 5.3% | epoch: 1 | remaining: 319s    
step 00057 (11.4%) | loss: 7.330263 | lrm: 0.97 | dt: 908ms | tok/sec: 2,255 | mfu: 5.3% | epoch: 1 | remaining: 318s    
step 00058 (11.7%) | loss: 7.286576 | lrm: 0.97 | dt: 917ms | tok/sec: 2,232 | mfu: 5.2% | epoch: 1 | remaining: 317s    
step 00059 (11.9%) | loss: 7.262535 | lrm: 0.97 | dt: 908ms | tok/sec: 2,256 | mfu: 5.3% | epoch: 1 | remaining: 316s    
step 00060 (12.2%) | loss: 7.243079 | lrm: 0.97 | dt: 949ms | tok/sec: 2,158 | mfu: 5.1% | epoch: 1 | remaining: 315s    
step 00061 (12.5%) | loss: 7.216283 | lrm: 0.97 | dt: 908ms | tok/sec: 2,255 | mfu: 5.3% | epoch: 1 | remaining: 314s    
step 00062 (12.7%) | loss: 7.169243 | lrm: 0.97 | dt: 941ms | tok/sec: 2,176 | mfu: 5.1% | epoch: 1 | remaining: 313s    
step 00063 (13.0%) | loss: 7.125178 | lrm: 0.97 | dt: 949ms | tok/sec: 2,159 | mfu: 5.1% | epoch: 1 | remaining: 312s    
step 00064 (13.2%) | loss: 7.118785 | lrm: 0.97 | dt: 927ms | tok/sec: 2,209 | mfu: 5.2% | epoch: 1 | remaining: 311s    
step 00065 (13.5%) | loss: 7.098942 | lrm: 0.96 | dt: 957ms | tok/sec: 2,139 | mfu: 5.0% | epoch: 1 | remaining: 310s    
step 00066 (13.8%) | loss: 7.056803 | lrm: 0.96 | dt: 942ms | tok/sec: 2,174 | mfu: 5.1% | epoch: 1 | remaining: 310s    
step 00067 (14.0%) | loss: 7.046375 | lrm: 0.96 | dt: 933ms | tok/sec: 2,194 | mfu: 5.2% | epoch: 1 | remaining: 309s    
step 00068 (14.3%) | loss: 7.016653 | lrm: 0.96 | dt: 941ms | tok/sec: 2,176 | mfu: 5.1% | epoch: 1 | remaining: 308s    
step 00069 (14.5%) | loss: 7.011124 | lrm: 0.96 | dt: 931ms | tok/sec: 2,198 | mfu: 5.2% | epoch: 1 | remaining: 307s    
step 00070 (14.8%) | loss: 6.984470 | lrm: 0.96 | dt: 939ms | tok/sec: 2,179 | mfu: 5.1% | epoch: 1 | remaining: 306s    
step 00071 (15.1%) | loss: 6.948229 | lrm: 0.96 | dt: 944ms | tok/sec: 2,169 | mfu: 5.1% | epoch: 1 | remaining: 305s    
step 00072 (15.3%) | loss: 6.909692 | lrm: 0.95 | dt: 972ms | tok/sec: 2,107 | mfu: 4.9% | epoch: 1 | remaining: 304s    
step 00073 (15.6%) | loss: 6.901667 | lrm: 0.95 | dt: 973ms | tok/sec: 2,105 | mfu: 4.9% | epoch: 1 | remaining: 303s    
step 00074 (15.9%) | loss: 6.888818 | lrm: 0.95 | dt: 942ms | tok/sec: 2,174 | mfu: 5.1% | epoch: 1 | remaining: 302s    
step 00075 (16.1%) | loss: 6.886801 | lrm: 0.95 | dt: 984ms | tok/sec: 2,080 | mfu: 4.9% | epoch: 1 | remaining: 301s    
step 00076 (16.4%) | loss: 6.880083 | lrm: 0.95 | dt: 980ms | tok/sec: 2,090 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00077 (16.7%) | loss: 6.868857 | lrm: 0.95 | dt: 945ms | tok/sec: 2,167 | mfu: 5.1% | epoch: 1 | remaining: 299s    
step 00078 (16.9%) | loss: 6.864332 | lrm: 0.94 | dt: 944ms | tok/sec: 2,170 | mfu: 5.1% | epoch: 1 | remaining: 298s    
step 00079 (17.2%) | loss: 6.859167 | lrm: 0.94 | dt: 947ms | tok/sec: 2,162 | mfu: 5.1% | epoch: 1 | remaining: 297s    
step 00080 (17.5%) | loss: 6.838845 | lrm: 0.94 | dt: 997ms | tok/sec: 2,054 | mfu: 4.8% | epoch: 1 | remaining: 296s    
step 00081 (17.7%) | loss: 6.824138 | lrm: 0.94 | dt: 977ms | tok/sec: 2,096 | mfu: 4.9% | epoch: 1 | remaining: 295s    
step 00082 (18.0%) | loss: 6.814659 | lrm: 0.94 | dt: 979ms | tok/sec: 2,092 | mfu: 4.9% | epoch: 1 | remaining: 294s    
step 00083 (18.3%) | loss: 6.821184 | lrm: 0.93 | dt: 974ms | tok/sec: 2,101 | mfu: 4.9% | epoch: 1 | remaining: 293s    
step 00084 (18.5%) | loss: 6.817244 | lrm: 0.93 | dt: 974ms | tok/sec: 2,103 | mfu: 4.9% | epoch: 1 | remaining: 292s    
step 00085 (18.8%) | loss: 6.821829 | lrm: 0.93 | dt: 968ms | tok/sec: 2,115 | mfu: 5.0% | epoch: 1 | remaining: 291s    
step 00086 (19.1%) | loss: 6.811565 | lrm: 0.93 | dt: 983ms | tok/sec: 2,083 | mfu: 4.9% | epoch: 1 | remaining: 290s    
step 00087 (19.4%) | loss: 6.815510 | lrm: 0.93 | dt: 976ms | tok/sec: 2,097 | mfu: 4.9% | epoch: 1 | remaining: 289s    
step 00088 (19.6%) | loss: 6.824417 | lrm: 0.92 | dt: 979ms | tok/sec: 2,091 | mfu: 4.9% | epoch: 1 | remaining: 288s    
step 00089 (19.9%) | loss: 6.820518 | lrm: 0.92 | dt: 971ms | tok/sec: 2,109 | mfu: 4.9% | epoch: 1 | remaining: 287s    
step 00090 (20.2%) | loss: 6.805121 | lrm: 0.92 | dt: 977ms | tok/sec: 2,097 | mfu: 4.9% | epoch: 1 | remaining: 286s    
step 00091 (20.4%) | loss: 6.782712 | lrm: 0.92 | dt: 977ms | tok/sec: 2,095 | mfu: 4.9% | epoch: 1 | remaining: 285s    
step 00092 (20.7%) | loss: 6.775447 | lrm: 0.92 | dt: 975ms | tok/sec: 2,099 | mfu: 4.9% | epoch: 1 | remaining: 284s    
step 00093 (21.0%) | loss: 6.749197 | lrm: 0.91 | dt: 1007ms | tok/sec: 2,034 | mfu: 4.8% | epoch: 1 | remaining: 283s    
step 00094 (21.3%) | loss: 6.713208 | lrm: 0.91 | dt: 1008ms | tok/sec: 2,032 | mfu: 4.8% | epoch: 1 | remaining: 282s    
step 00095 (21.5%) | loss: 6.699206 | lrm: 0.91 | dt: 976ms | tok/sec: 2,098 | mfu: 4.9% | epoch: 1 | remaining: 281s    
step 00096 (21.8%) | loss: 6.688575 | lrm: 0.91 | dt: 1041ms | tok/sec: 1,967 | mfu: 4.6% | epoch: 1 | remaining: 280s    
step 00097 (22.1%) | loss: 6.662651 | lrm: 0.90 | dt: 1018ms | tok/sec: 2,011 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00098 (22.4%) | loss: 6.678553 | lrm: 0.90 | dt: 1013ms | tok/sec: 2,021 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00099 (22.7%) | loss: 6.657648 | lrm: 0.90 | dt: 1010ms | tok/sec: 2,027 | mfu: 4.8% | epoch: 1 | remaining: 277s    
step 00100 (22.9%) | loss: 6.660387 | lrm: 0.90 | dt: 1013ms | tok/sec: 2,022 | mfu: 4.7% | epoch: 1 | remaining: 276s    
step 00101 (23.2%) | loss: 6.631690 | lrm: 0.90 | dt: 1025ms | tok/sec: 1,997 | mfu: 4.7% | epoch: 1 | remaining: 275s    
step 00102 (23.5%) | loss: 6.620661 | lrm: 0.89 | dt: 1009ms | tok/sec: 2,030 | mfu: 4.8% | epoch: 1 | remaining: 274s    
step 00103 (23.8%) | loss: 6.626219 | lrm: 0.89 | dt: 1027ms | tok/sec: 1,993 | mfu: 4.7% | epoch: 1 | remaining: 273s    
step 00104 (24.1%) | loss: 6.606837 | lrm: 0.89 | dt: 1017ms | tok/sec: 2,014 | mfu: 4.7% | epoch: 1 | remaining: 272s    
step 00105 (24.4%) | loss: 6.584290 | lrm: 0.88 | dt: 1016ms | tok/sec: 2,015 | mfu: 4.7% | epoch: 1 | remaining: 271s    
step 00106 (24.6%) | loss: 6.569988 | lrm: 0.88 | dt: 1025ms | tok/sec: 1,997 | mfu: 4.7% | epoch: 1 | remaining: 270s    
step 00107 (24.9%) | loss: 6.565326 | lrm: 0.88 | dt: 1028ms | tok/sec: 1,991 | mfu: 4.7% | epoch: 1 | remaining: 269s    
step 00108 (25.2%) | loss: 6.559650 | lrm: 0.88 | dt: 1017ms | tok/sec: 2,013 | mfu: 4.7% | epoch: 1 | remaining: 268s    
step 00109 (25.5%) | loss: 6.545358 | lrm: 0.87 | dt: 1020ms | tok/sec: 2,008 | mfu: 4.7% | epoch: 1 | remaining: 267s    
step 00110 (25.8%) | loss: 6.511086 | lrm: 0.87 | dt: 1021ms | tok/sec: 2,005 | mfu: 4.7% | epoch: 1 | remaining: 266s    
step 00111 (26.1%) | loss: 6.507227 | lrm: 0.87 | dt: 1028ms | tok/sec: 1,991 | mfu: 4.7% | epoch: 1 | remaining: 265s    
step 00112 (26.4%) | loss: 6.477382 | lrm: 0.87 | dt: 1011ms | tok/sec: 2,025 | mfu: 4.8% | epoch: 1 | remaining: 264s    
step 00113 (26.6%) | loss: 6.467604 | lrm: 0.86 | dt: 1025ms | tok/sec: 1,998 | mfu: 4.7% | epoch: 1 | remaining: 263s    
step 00114 (26.9%) | loss: 6.459001 | lrm: 0.86 | dt: 1011ms | tok/sec: 2,026 | mfu: 4.8% | epoch: 1 | remaining: 262s    
step 00115 (27.2%) | loss: 6.435655 | lrm: 0.86 | dt: 1019ms | tok/sec: 2,009 | mfu: 4.7% | epoch: 1 | remaining: 261s    
step 00116 (27.5%) | loss: 6.442557 | lrm: 0.85 | dt: 1033ms | tok/sec: 1,982 | mfu: 4.7% | epoch: 1 | remaining: 260s    
step 00117 (27.8%) | loss: 6.453798 | lrm: 0.85 | dt: 1013ms | tok/sec: 2,020 | mfu: 4.7% | epoch: 1 | remaining: 259s    
step 00118 (28.0%) | loss: 6.459159 | lrm: 0.85 | dt: 1014ms | tok/sec: 2,020 | mfu: 4.7% | epoch: 1 | remaining: 258s    
step 00119 (28.3%) | loss: 6.463992 | lrm: 0.85 | dt: 1032ms | tok/sec: 1,984 | mfu: 4.7% | epoch: 1 | remaining: 257s    
step 00120 (28.6%) | loss: 6.461181 | lrm: 0.84 | dt: 1015ms | tok/sec: 2,017 | mfu: 4.7% | epoch: 1 | remaining: 256s    
step 00121 (28.9%) | loss: 6.434297 | lrm: 0.84 | dt: 1027ms | tok/sec: 1,994 | mfu: 4.7% | epoch: 1 | remaining: 255s    
step 00122 (29.2%) | loss: 6.459061 | lrm: 0.84 | dt: 1041ms | tok/sec: 1,966 | mfu: 4.6% | epoch: 1 | remaining: 254s    
step 00123 (29.5%) | loss: 6.457667 | lrm: 0.83 | dt: 1056ms | tok/sec: 1,938 | mfu: 4.5% | epoch: 1 | remaining: 253s    
step 00124 (29.8%) | loss: 6.463487 | lrm: 0.83 | dt: 1066ms | tok/sec: 1,921 | mfu: 4.5% | epoch: 1 | remaining: 252s    
step 00125 (30.1%) | loss: 6.482963 | lrm: 0.83 | dt: 1058ms | tok/sec: 1,935 | mfu: 4.5% | epoch: 1 | remaining: 251s    
step 00126 (30.4%) | loss: 6.494187 | lrm: 0.82 | dt: 1066ms | tok/sec: 1,921 | mfu: 4.5% | epoch: 1 | remaining: 250s    
step 00127 (30.7%) | loss: 6.482502 | lrm: 0.82 | dt: 1054ms | tok/sec: 1,943 | mfu: 4.6% | epoch: 1 | remaining: 249s    
step 00128 (30.9%) | loss: 6.491423 | lrm: 0.82 | dt: 1058ms | tok/sec: 1,936 | mfu: 4.5% | epoch: 1 | remaining: 248s    
step 00129 (31.2%) | loss: 6.475869 | lrm: 0.82 | dt: 1039ms | tok/sec: 1,970 | mfu: 4.6% | epoch: 1 | remaining: 246s    
step 00130 (31.5%) | loss: 6.462877 | lrm: 0.81 | dt: 1067ms | tok/sec: 1,918 | mfu: 4.5% | epoch: 1 | remaining: 245s    
step 00131 (31.8%) | loss: 6.467353 | lrm: 0.81 | dt: 1065ms | tok/sec: 1,922 | mfu: 4.5% | epoch: 1 | remaining: 244s    
step 00132 (32.1%) | loss: 6.457626 | lrm: 0.81 | dt: 1050ms | tok/sec: 1,949 | mfu: 4.6% | epoch: 1 | remaining: 243s    
step 00133 (32.4%) | loss: 6.445880 | lrm: 0.80 | dt: 1041ms | tok/sec: 1,966 | mfu: 4.6% | epoch: 1 | remaining: 242s    
step 00134 (32.7%) | loss: 6.442177 | lrm: 0.80 | dt: 1059ms | tok/sec: 1,934 | mfu: 4.5% | epoch: 1 | remaining: 241s    
step 00135 (33.0%) | loss: 6.440648 | lrm: 0.80 | dt: 1053ms | tok/sec: 1,945 | mfu: 4.6% | epoch: 1 | remaining: 240s    
step 00136 (33.3%) | loss: 6.448494 | lrm: 0.79 | dt: 1058ms | tok/sec: 1,935 | mfu: 4.5% | epoch: 1 | remaining: 239s    
step 00137 (33.6%) | loss: 6.442960 | lrm: 0.79 | dt: 1048ms | tok/sec: 1,954 | mfu: 4.6% | epoch: 1 | remaining: 238s    
step 00138 (33.9%) | loss: 6.407342 | lrm: 0.79 | dt: 1050ms | tok/sec: 1,951 | mfu: 4.6% | epoch: 1 | remaining: 237s    
step 00139 (34.2%) | loss: 6.417609 | lrm: 0.78 | dt: 1057ms | tok/sec: 1,937 | mfu: 4.5% | epoch: 1 | remaining: 236s    
step 00140 (34.5%) | loss: 6.397014 | lrm: 0.78 | dt: 1063ms | tok/sec: 1,926 | mfu: 4.5% | epoch: 1 | remaining: 235s    
step 00141 (34.8%) | loss: 6.393269 | lrm: 0.77 | dt: 1059ms | tok/sec: 1,933 | mfu: 4.5% | epoch: 1 | remaining: 234s    
step 00142 (35.0%) | loss: 6.393809 | lrm: 0.77 | dt: 1057ms | tok/sec: 1,937 | mfu: 4.5% | epoch: 1 | remaining: 233s    
step 00143 (35.3%) | loss: 6.370102 | lrm: 0.77 | dt: 1059ms | tok/sec: 1,933 | mfu: 4.5% | epoch: 1 | remaining: 232s    
step 00144 (35.6%) | loss: 6.350225 | lrm: 0.76 | dt: 1060ms | tok/sec: 1,931 | mfu: 4.5% | epoch: 1 | remaining: 231s    
step 00145 (35.9%) | loss: 6.355282 | lrm: 0.76 | dt: 1067ms | tok/sec: 1,919 | mfu: 4.5% | epoch: 1 | remaining: 230s    
step 00146 (36.2%) | loss: 6.347599 | lrm: 0.76 | dt: 1057ms | tok/sec: 1,936 | mfu: 4.5% | epoch: 1 | remaining: 229s    
step 00147 (36.5%) | loss: 6.336336 | lrm: 0.75 | dt: 1061ms | tok/sec: 1,930 | mfu: 4.5% | epoch: 1 | remaining: 227s    
step 00148 (36.8%) | loss: 6.315717 | lrm: 0.75 | dt: 1059ms | tok/sec: 1,934 | mfu: 4.5% | epoch: 1 | remaining: 226s    
step 00149 (37.1%) | loss: 6.311572 | lrm: 0.75 | dt: 1060ms | tok/sec: 1,931 | mfu: 4.5% | epoch: 1 | remaining: 225s    
step 00150 (37.4%) | loss: 6.300639 | lrm: 0.74 | dt: 1067ms | tok/sec: 1,920 | mfu: 4.5% | epoch: 1 | remaining: 224s    
