warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 10, 'n_kv_head': 1, 'n_embd': 640, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 0
  lm_head                 : 5,242,880
  transformer_matrices    : 15,564,800
  scalars                 : 20
  total                   : 26,050,580
Estimated FLOPs per token: 1.445069e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.012065 | lrm: 0.00 | dt: 5931ms | tok/sec: 345 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011950 | lrm: 0.00 | dt: 1245ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011543 | lrm: 0.00 | dt: 1228ms | tok/sec: 1,667 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011477 | lrm: 0.00 | dt: 1259ms | tok/sec: 1,627 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011570 | lrm: 0.00 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011425 | lrm: 0.00 | dt: 1246ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011465 | lrm: 0.00 | dt: 1244ms | tok/sec: 1,646 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011418 | lrm: 0.00 | dt: 1258ms | tok/sec: 1,627 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011508 | lrm: 0.00 | dt: 1254ms | tok/sec: 1,633 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011385 | lrm: 0.00 | dt: 1255ms | tok/sec: 1,631 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011353 | lrm: 0.00 | dt: 1242ms | tok/sec: 1,649 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011261 | lrm: 0.00 | dt: 1253ms | tok/sec: 1,634 | mfu: 5.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 9.011213 | lrm: 0.84 | dt: 1251ms | tok/sec: 1,637 | mfu: 5.1% | epoch: 1 | remaining: 297s    
step 00013 (0.8%) | loss: 8.982540 | lrm: 1.00 | dt: 1259ms | tok/sec: 1,626 | mfu: 5.1% | epoch: 1 | remaining: 296s    
step 00014 (1.3%) | loss: 8.912603 | lrm: 1.00 | dt: 1240ms | tok/sec: 1,651 | mfu: 5.2% | epoch: 1 | remaining: 295s    
step 00033 (9.2%) | loss: 9.856976 | lrm: 0.98 | dt: 1255ms | tok/sec: 1,632 | mfu: 5.1% | epoch: 1 | remaining: 271s    
step 00034 (9.6%) | loss: 9.733840 | lrm: 0.98 | dt: 1241ms | tok/sec: 1,650 | mfu: 5.2% | epoch: 1 | remaining: 270s    
step 00035 (10.0%) | loss: 9.638608 | lrm: 0.98 | dt: 1252ms | tok/sec: 1,635 | mfu: 5.1% | epoch: 1 | remaining: 269s    
step 00036 (10.4%) | loss: 9.495108 | lrm: 0.98 | dt: 1248ms | tok/sec: 1,641 | mfu: 5.2% | epoch: 1 | remaining: 267s    
step 00037 (10.8%) | loss: 9.353447 | lrm: 0.98 | dt: 1252ms | tok/sec: 1,635 | mfu: 5.1% | epoch: 1 | remaining: 266s    
step 00038 (11.3%) | loss: 9.251870 | lrm: 0.98 | dt: 1250ms | tok/sec: 1,639 | mfu: 5.1% | epoch: 1 | remaining: 265s    
step 00039 (11.7%) | loss: 9.136281 | lrm: 0.97 | dt: 1242ms | tok/sec: 1,648 | mfu: 5.2% | epoch: 1 | remaining: 264s    
step 00040 (12.1%) | loss: 9.009394 | lrm: 0.97 | dt: 1261ms | tok/sec: 1,623 | mfu: 5.1% | epoch: 1 | remaining: 262s    
step 00041 (12.5%) | loss: 8.887302 | lrm: 0.97 | dt: 1261ms | tok/sec: 1,624 | mfu: 5.1% | epoch: 1 | remaining: 261s    
step 00042 (12.9%) | loss: 8.801382 | lrm: 0.97 | dt: 1245ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 260s    
step 00043 (13.3%) | loss: 8.712197 | lrm: 0.97 | dt: 1238ms | tok/sec: 1,654 | mfu: 5.2% | epoch: 1 | remaining: 259s    
step 00044 (13.8%) | loss: 8.634317 | lrm: 0.96 | dt: 1251ms | tok/sec: 1,637 | mfu: 5.1% | epoch: 1 | remaining: 257s    
step 00045 (14.2%) | loss: 8.536415 | lrm: 0.96 | dt: 1263ms | tok/sec: 1,621 | mfu: 5.1% | epoch: 1 | remaining: 256s    
step 00046 (14.6%) | loss: 8.497910 | lrm: 0.96 | dt: 1234ms | tok/sec: 1,659 | mfu: 5.2% | epoch: 1 | remaining: 255s    
step 00047 (15.0%) | loss: 8.413498 | lrm: 0.96 | dt: 1255ms | tok/sec: 1,631 | mfu: 5.1% | epoch: 1 | remaining: 254s    
step 00048 (15.4%) | loss: 8.334853 | lrm: 0.95 | dt: 1258ms | tok/sec: 1,627 | mfu: 5.1% | epoch: 1 | remaining: 252s    
step 00049 (15.8%) | loss: 8.237534 | lrm: 0.95 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 251s    
step 00050 (16.3%) | loss: 8.217488 | lrm: 0.95 | dt: 1247ms | tok/sec: 1,641 | mfu: 5.2% | epoch: 1 | remaining: 250s    
step 00051 (16.7%) | loss: 8.171430 | lrm: 0.95 | dt: 1255ms | tok/sec: 1,632 | mfu: 5.1% | epoch: 1 | remaining: 249s    
step 00052 (17.1%) | loss: 8.127687 | lrm: 0.94 | dt: 1245ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 247s    
step 00053 (17.5%) | loss: 8.064645 | lrm: 0.94 | dt: 1261ms | tok/sec: 1,624 | mfu: 5.1% | epoch: 1 | remaining: 246s    
step 00054 (17.9%) | loss: 7.994196 | lrm: 0.94 | dt: 1238ms | tok/sec: 1,654 | mfu: 5.2% | epoch: 1 | remaining: 245s    
step 00055 (18.3%) | loss: 7.966390 | lrm: 0.93 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 244s    
step 00056 (18.8%) | loss: 7.931172 | lrm: 0.93 | dt: 1231ms | tok/sec: 1,663 | mfu: 5.2% | epoch: 1 | remaining: 242s    
step 00057 (19.2%) | loss: 7.892159 | lrm: 0.93 | dt: 1271ms | tok/sec: 1,611 | mfu: 5.1% | epoch: 1 | remaining: 241s    
step 00058 (19.6%) | loss: 7.815526 | lrm: 0.93 | dt: 1244ms | tok/sec: 1,646 | mfu: 5.2% | epoch: 1 | remaining: 240s    
step 00059 (20.0%) | loss: 7.768368 | lrm: 0.92 | dt: 1257ms | tok/sec: 1,629 | mfu: 5.1% | epoch: 1 | remaining: 239s    
step 00060 (20.4%) | loss: 7.728480 | lrm: 0.92 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 237s    
step 00061 (20.8%) | loss: 7.681211 | lrm: 0.92 | dt: 1262ms | tok/sec: 1,623 | mfu: 5.1% | epoch: 1 | remaining: 236s    
step 00062 (21.3%) | loss: 7.616798 | lrm: 0.91 | dt: 1246ms | tok/sec: 1,643 | mfu: 5.2% | epoch: 1 | remaining: 235s    
step 00063 (21.7%) | loss: 7.558041 | lrm: 0.91 | dt: 1244ms | tok/sec: 1,646 | mfu: 5.2% | epoch: 1 | remaining: 234s    
step 00064 (22.1%) | loss: 7.531864 | lrm: 0.90 | dt: 1242ms | tok/sec: 1,649 | mfu: 5.2% | epoch: 1 | remaining: 232s    
step 00065 (22.5%) | loss: 7.493749 | lrm: 0.90 | dt: 1265ms | tok/sec: 1,619 | mfu: 5.1% | epoch: 1 | remaining: 231s    
step 00066 (22.9%) | loss: 7.435152 | lrm: 0.90 | dt: 1242ms | tok/sec: 1,648 | mfu: 5.2% | epoch: 1 | remaining: 230s    
step 00067 (23.3%) | loss: 7.413051 | lrm: 0.89 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 229s    
step 00068 (23.8%) | loss: 7.383239 | lrm: 0.89 | dt: 1248ms | tok/sec: 1,641 | mfu: 5.2% | epoch: 1 | remaining: 227s    
step 00069 (24.2%) | loss: 7.371053 | lrm: 0.89 | dt: 1257ms | tok/sec: 1,629 | mfu: 5.1% | epoch: 1 | remaining: 226s    
step 00070 (24.6%) | loss: 7.344662 | lrm: 0.88 | dt: 1246ms | tok/sec: 1,643 | mfu: 5.2% | epoch: 1 | remaining: 225s    
step 00071 (25.0%) | loss: 7.311184 | lrm: 0.88 | dt: 1254ms | tok/sec: 1,633 | mfu: 5.1% | epoch: 1 | remaining: 224s    
step 00072 (25.4%) | loss: 7.277321 | lrm: 0.87 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 222s    
step 00073 (25.8%) | loss: 7.264185 | lrm: 0.87 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 221s    
step 00074 (26.3%) | loss: 7.236446 | lrm: 0.87 | dt: 1248ms | tok/sec: 1,640 | mfu: 5.2% | epoch: 1 | remaining: 220s    
step 00075 (26.7%) | loss: 7.219098 | lrm: 0.86 | dt: 1242ms | tok/sec: 1,648 | mfu: 5.2% | epoch: 1 | remaining: 219s    
step 00076 (27.1%) | loss: 7.193352 | lrm: 0.86 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 217s    
step 00077 (27.5%) | loss: 7.158767 | lrm: 0.85 | dt: 1254ms | tok/sec: 1,633 | mfu: 5.1% | epoch: 1 | remaining: 216s    
step 00078 (27.9%) | loss: 7.135346 | lrm: 0.85 | dt: 1242ms | tok/sec: 1,648 | mfu: 5.2% | epoch: 1 | remaining: 215s    
step 00079 (28.3%) | loss: 7.113803 | lrm: 0.85 | dt: 1253ms | tok/sec: 1,634 | mfu: 5.1% | epoch: 1 | remaining: 214s    
step 00080 (28.8%) | loss: 7.082382 | lrm: 0.84 | dt: 1246ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 212s    
step 00081 (29.2%) | loss: 7.067026 | lrm: 0.84 | dt: 1264ms | tok/sec: 1,620 | mfu: 5.1% | epoch: 1 | remaining: 211s    
step 00082 (29.6%) | loss: 7.052508 | lrm: 0.83 | dt: 1260ms | tok/sec: 1,625 | mfu: 5.1% | epoch: 1 | remaining: 210s    
step 00083 (30.0%) | loss: 7.054453 | lrm: 0.83 | dt: 1249ms | tok/sec: 1,640 | mfu: 5.2% | epoch: 1 | remaining: 209s    
step 00084 (30.4%) | loss: 7.043323 | lrm: 0.82 | dt: 1276ms | tok/sec: 1,605 | mfu: 5.0% | epoch: 1 | remaining: 207s    
step 00085 (30.9%) | loss: 7.033194 | lrm: 0.82 | dt: 1266ms | tok/sec: 1,617 | mfu: 5.1% | epoch: 1 | remaining: 206s    
step 00086 (31.3%) | loss: 7.014025 | lrm: 0.81 | dt: 1255ms | tok/sec: 1,632 | mfu: 5.1% | epoch: 1 | remaining: 205s    
step 00087 (31.7%) | loss: 6.996932 | lrm: 0.81 | dt: 1323ms | tok/sec: 1,548 | mfu: 4.9% | epoch: 1 | remaining: 204s    
step 00088 (32.1%) | loss: 6.985853 | lrm: 0.80 | dt: 1274ms | tok/sec: 1,607 | mfu: 5.0% | epoch: 1 | remaining: 202s    
step 00089 (32.6%) | loss: 6.971274 | lrm: 0.80 | dt: 1293ms | tok/sec: 1,584 | mfu: 5.0% | epoch: 1 | remaining: 201s    
step 00090 (33.0%) | loss: 6.958370 | lrm: 0.80 | dt: 1290ms | tok/sec: 1,587 | mfu: 5.0% | epoch: 1 | remaining: 200s    
step 00091 (33.4%) | loss: 6.931065 | lrm: 0.79 | dt: 1282ms | tok/sec: 1,597 | mfu: 5.0% | epoch: 1 | remaining: 198s    
step 00092 (33.9%) | loss: 6.924305 | lrm: 0.79 | dt: 1279ms | tok/sec: 1,601 | mfu: 5.0% | epoch: 1 | remaining: 197s    
step 00093 (34.3%) | loss: 6.896236 | lrm: 0.78 | dt: 1285ms | tok/sec: 1,593 | mfu: 5.0% | epoch: 1 | remaining: 196s    
step 00094 (34.7%) | loss: 6.858097 | lrm: 0.78 | dt: 1282ms | tok/sec: 1,597 | mfu: 5.0% | epoch: 1 | remaining: 195s    
step 00095 (35.1%) | loss: 6.841299 | lrm: 0.77 | dt: 1279ms | tok/sec: 1,600 | mfu: 5.0% | epoch: 1 | remaining: 193s    
step 00096 (35.6%) | loss: 6.834207 | lrm: 0.77 | dt: 1278ms | tok/sec: 1,602 | mfu: 5.0% | epoch: 1 | remaining: 192s    
step 00097 (36.0%) | loss: 6.814862 | lrm: 0.76 | dt: 1350ms | tok/sec: 1,516 | mfu: 4.8% | epoch: 1 | remaining: 191s    
step 00098 (36.4%) | loss: 6.829348 | lrm: 0.75 | dt: 1294ms | tok/sec: 1,582 | mfu: 5.0% | epoch: 1 | remaining: 189s    
step 00099 (36.9%) | loss: 6.795218 | lrm: 0.75 | dt: 1309ms | tok/sec: 1,564 | mfu: 4.9% | epoch: 1 | remaining: 188s    
step 00100 (37.3%) | loss: 6.782202 | lrm: 0.74 | dt: 1308ms | tok/sec: 1,565 | mfu: 4.9% | epoch: 1 | remaining: 187s    
step 00101 (37.7%) | loss: 6.741936 | lrm: 0.74 | dt: 1305ms | tok/sec: 1,569 | mfu: 4.9% | epoch: 1 | remaining: 185s    
step 00102 (38.2%) | loss: 6.720511 | lrm: 0.73 | dt: 1299ms | tok/sec: 1,576 | mfu: 5.0% | epoch: 1 | remaining: 184s    
step 00103 (38.6%) | loss: 6.719260 | lrm: 0.73 | dt: 1301ms | tok/sec: 1,573 | mfu: 4.9% | epoch: 1 | remaining: 183s    
step 00104 (39.0%) | loss: 6.695676 | lrm: 0.72 | dt: 1302ms | tok/sec: 1,573 | mfu: 4.9% | epoch: 1 | remaining: 182s    
step 00105 (39.5%) | loss: 6.672832 | lrm: 0.72 | dt: 1300ms | tok/sec: 1,575 | mfu: 4.9% | epoch: 1 | remaining: 180s    
step 00106 (39.9%) | loss: 6.665186 | lrm: 0.71 | dt: 1338ms | tok/sec: 1,530 | mfu: 4.8% | epoch: 1 | remaining: 179s    
step 00107 (40.4%) | loss: 6.667297 | lrm: 0.71 | dt: 1313ms | tok/sec: 1,560 | mfu: 4.9% | epoch: 1 | remaining: 178s    
step 00108 (40.8%) | loss: 6.664900 | lrm: 0.70 | dt: 1322ms | tok/sec: 1,549 | mfu: 4.9% | epoch: 1 | remaining: 176s    
step 00109 (41.2%) | loss: 6.648454 | lrm: 0.69 | dt: 1319ms | tok/sec: 1,552 | mfu: 4.9% | epoch: 1 | remaining: 175s    
step 00110 (41.7%) | loss: 6.615067 | lrm: 0.69 | dt: 1317ms | tok/sec: 1,555 | mfu: 4.9% | epoch: 1 | remaining: 174s    
step 00111 (42.1%) | loss: 6.611750 | lrm: 0.68 | dt: 1327ms | tok/sec: 1,542 | mfu: 4.8% | epoch: 1 | remaining: 172s    
step 00112 (42.6%) | loss: 6.576203 | lrm: 0.68 | dt: 1349ms | tok/sec: 1,517 | mfu: 4.8% | epoch: 1 | remaining: 171s    
step 00113 (43.0%) | loss: 6.560357 | lrm: 0.67 | dt: 1336ms | tok/sec: 1,532 | mfu: 4.8% | epoch: 1 | remaining: 170s    
step 00114 (43.5%) | loss: 6.545947 | lrm: 0.67 | dt: 1337ms | tok/sec: 1,531 | mfu: 4.8% | epoch: 1 | remaining: 168s    
step 00115 (43.9%) | loss: 6.511431 | lrm: 0.66 | dt: 1325ms | tok/sec: 1,545 | mfu: 4.9% | epoch: 1 | remaining: 167s    
step 00116 (44.3%) | loss: 6.507897 | lrm: 0.65 | dt: 1374ms | tok/sec: 1,491 | mfu: 4.7% | epoch: 1 | remaining: 166s    
step 00117 (44.8%) | loss: 6.513324 | lrm: 0.65 | dt: 1360ms | tok/sec: 1,505 | mfu: 4.7% | epoch: 1 | remaining: 164s    
step 00118 (45.2%) | loss: 6.517008 | lrm: 0.64 | dt: 1348ms | tok/sec: 1,518 | mfu: 4.8% | epoch: 1 | remaining: 163s    
step 00119 (45.7%) | loss: 6.527231 | lrm: 0.64 | dt: 1355ms | tok/sec: 1,511 | mfu: 4.7% | epoch: 1 | remaining: 162s    
step 00120 (46.2%) | loss: 6.523795 | lrm: 0.63 | dt: 1391ms | tok/sec: 1,472 | mfu: 4.6% | epoch: 1 | remaining: 160s    
step 00121 (46.6%) | loss: 6.499760 | lrm: 0.62 | dt: 1363ms | tok/sec: 1,503 | mfu: 4.7% | epoch: 1 | remaining: 159s    
step 00122 (47.1%) | loss: 6.511985 | lrm: 0.62 | dt: 1355ms | tok/sec: 1,511 | mfu: 4.7% | epoch: 1 | remaining: 157s    
step 00123 (47.5%) | loss: 6.494542 | lrm: 0.61 | dt: 1360ms | tok/sec: 1,506 | mfu: 4.7% | epoch: 1 | remaining: 156s    
step 00124 (48.0%) | loss: 6.484712 | lrm: 0.61 | dt: 1350ms | tok/sec: 1,516 | mfu: 4.8% | epoch: 1 | remaining: 155s    
step 00125 (48.4%) | loss: 6.489198 | lrm: 0.60 | dt: 1358ms | tok/sec: 1,508 | mfu: 4.7% | epoch: 1 | remaining: 153s    
step 00126 (48.9%) | loss: 6.487095 | lrm: 0.59 | dt: 1353ms | tok/sec: 1,514 | mfu: 4.8% | epoch: 1 | remaining: 152s    
step 00127 (49.3%) | loss: 6.470754 | lrm: 0.59 | dt: 1363ms | tok/sec: 1,502 | mfu: 4.7% | epoch: 1 | remaining: 151s    
step 00128 (49.8%) | loss: 6.478439 | lrm: 0.58 | dt: 1382ms | tok/sec: 1,482 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00129 (50.2%) | loss: 6.456072 | lrm: 0.58 | dt: 1375ms | tok/sec: 1,489 | mfu: 4.7% | epoch: 1 | remaining: 148s    
step 00130 (50.7%) | loss: 6.444201 | lrm: 0.57 | dt: 1401ms | tok/sec: 1,461 | mfu: 4.6% | epoch: 1 | remaining: 146s    
step 00131 (51.2%) | loss: 6.442037 | lrm: 0.56 | dt: 1354ms | tok/sec: 1,513 | mfu: 4.8% | epoch: 1 | remaining: 145s    
step 00132 (51.6%) | loss: 6.422403 | lrm: 0.56 | dt: 1399ms | tok/sec: 1,464 | mfu: 4.6% | epoch: 1 | remaining: 144s    
step 00133 (52.1%) | loss: 6.403500 | lrm: 0.55 | dt: 1377ms | tok/sec: 1,487 | mfu: 4.7% | epoch: 1 | remaining: 142s    
step 00134 (52.5%) | loss: 6.392507 | lrm: 0.54 | dt: 1365ms | tok/sec: 1,500 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00135 (53.0%) | loss: 6.387493 | lrm: 0.54 | dt: 1374ms | tok/sec: 1,490 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00136 (53.5%) | loss: 6.394564 | lrm: 0.53 | dt: 1376ms | tok/sec: 1,488 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00137 (53.9%) | loss: 6.393166 | lrm: 0.53 | dt: 1375ms | tok/sec: 1,489 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00138 (54.4%) | loss: 6.364567 | lrm: 0.52 | dt: 1378ms | tok/sec: 1,486 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00139 (54.8%) | loss: 6.371417 | lrm: 0.51 | dt: 1377ms | tok/sec: 1,487 | mfu: 4.7% | epoch: 1 | remaining: 134s    
step 00140 (55.3%) | loss: 6.352314 | lrm: 0.51 | dt: 1381ms | tok/sec: 1,482 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 00141 (55.8%) | loss: 6.352356 | lrm: 0.50 | dt: 1378ms | tok/sec: 1,486 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 00142 (56.2%) | loss: 6.356014 | lrm: 0.50 | dt: 1375ms | tok/sec: 1,489 | mfu: 4.7% | epoch: 1 | remaining: 130s    
step 00143 (56.7%) | loss: 6.333286 | lrm: 0.49 | dt: 1419ms | tok/sec: 1,443 | mfu: 4.5% | epoch: 1 | remaining: 129s    
step 00144 (57.1%) | loss: 6.311506 | lrm: 0.48 | dt: 1401ms | tok/sec: 1,462 | mfu: 4.6% | epoch: 1 | remaining: 127s    
step 00145 (57.6%) | loss: 6.317214 | lrm: 0.48 | dt: 1395ms | tok/sec: 1,468 | mfu: 4.6% | epoch: 1 | remaining: 126s    
step 00146 (58.1%) | loss: 6.312421 | lrm: 0.47 | dt: 1423ms | tok/sec: 1,439 | mfu: 4.5% | epoch: 1 | remaining: 124s    
step 00147 (58.5%) | loss: 6.301735 | lrm: 0.46 | dt: 1429ms | tok/sec: 1,433 | mfu: 4.5% | epoch: 1 | remaining: 123s    
step 00148 (59.0%) | loss: 6.281173 | lrm: 0.46 | dt: 1427ms | tok/sec: 1,434 | mfu: 4.5% | epoch: 1 | remaining: 121s    
step 00149 (59.5%) | loss: 6.276198 | lrm: 0.45 | dt: 1383ms | tok/sec: 1,481 | mfu: 4.7% | epoch: 1 | remaining: 120s    
step 00150 (60.0%) | loss: 6.260626 | lrm: 0.45 | dt: 1396ms | tok/sec: 1,466 | mfu: 4.6% | epoch: 1 | remaining: 119s    
step 00151 (60.4%) | loss: 6.252556 | lrm: 0.44 | dt: 1401ms | tok/sec: 1,461 | mfu: 4.6% | epoch: 1 | remaining: 117s    
